Request ID,Control Area,Evidence Requested,Purpose,Requested From,Priority,Status,Due Date,Reviewer Notes
ER-001,User Provisioning,10 user access request tickets with manager approval and role assignment evidence,Verify new user access is authorized and appropriate,Identity and Access Management,High,Received,2026-08-30,Sample should include standard and elevated access requests
ER-002,User Termination,10 terminated-user records with disablement logs and HR notification,Verify access is removed promptly after termination,Identity and Access Management,High,Received,2026-08-30,Compare termination timestamp with account disablement timestamp
ER-003,Privileged Access,Current privileged account inventory with business justification and latest review approvals,Verify elevated access is limited justified and periodically reviewed,IT Security,High,Partial,2026-08-30,Several accounts missing current justification
ER-004,Multi-Factor Authentication,MFA enrollment report for privileged and remote users with exception records,Verify applicable accounts are protected by MFA,Identity and Access Management,High,Received,2026-08-30,Validate exception approvals and expiration dates
ER-005,Access Reviews,Quarterly user access review reports and manager certification records,Verify recurring access reviews are completed and unnecessary access is removed,Identity and Access Management,High,Partial,2026-09-02,Q2 review evidence is incomplete for one business unit
ER-006,Change Management,10 production change tickets with testing approval and implementation records,Verify changes are authorized tested documented and approved,Change Management,Medium,Received,2026-09-02,Include normal and emergency changes
ER-007,Audit Logging,SIEM log source inventory recurring review records and investigation tickets,Verify security events are logged reviewed and escalated,Security Operations,Medium,Partial,2026-09-02,Recurring review evidence is inconsistent
ER-008,Vulnerability Management,Latest vulnerability scan report plus 10 high-risk remediation tickets and aging report,Verify vulnerabilities are prioritized remediated and tracked,Vulnerability Management,High,Received,2026-09-03,Review overdue High and Critical findings
ER-009,Incident Response,5 incident tickets incident response plan and latest tabletop exercise report,Verify incidents are documented escalated contained and reviewed,Incident Response Team,High,Partial,2026-09-03,Tabletop evidence is older than expected
ER-010,Backup and Recovery,Backup success reports and 4 restoration test records,Verify backups are operating and recovery capability is tested,IT Operations,Medium,Partial,2026-09-04,Only 2 recent restore tests were provided
ER-011,Third-Party Risk,5 high-risk vendor assessments questionnaires contracts and reassessment records,Verify critical vendors receive due diligence and recurring review,GRC and Procurement,High,Partial,2026-09-04,Two vendors have outdated reassessment evidence
ER-012,Policies and Procedures,Current access control change management incident response vulnerability and vendor-risk policies,Confirm control expectations are formally documented,GRC,Medium,Received,2026-09-04,Use policies to compare expected process with actual evidence
ER-013,Risk Management,Current cybersecurity risk register and management approval records,Verify identified risks have owners ratings treatment decisions and approvals,GRC,Medium,Received,2026-09-05,Review open High risks for overdue treatment actions
ER-014,Remediation Tracking,Open audit findings and corrective-action tracker from prior internal reviews,Determine whether prior issues are assigned tracked and validated before closure,Internal Audit,High,Partial,2026-09-05,Several items lack closure evidence
ER-015,Training,Security awareness completion report and privileged-user training records,Verify applicable personnel completed required security training,Human Resources and Security,Low,Received,2026-09-05,No material exceptions identified
