Finding ID,Related Test,Control Area,Risk Level,Audit Finding,Management Response,Corrective Action,Responsible Owner,Target Date,Current Status,Validation Evidence,Closure Decision
FIND-001,CT-001,User Provisioning,Medium,One sampled provisioning record lacked complete manager approval evidence,Management agrees that approval evidence should be retained consistently,Update provisioning workflow to require documented manager approval before account creation,Identity and Access Management,2026-09-30,In Progress,Updated access request workflow and approval records,Pending Validation
FIND-002,CT-002,User Termination,High,Two terminated users retained access beyond the expected disablement timeframe,Management agrees that termination processing requires stronger coordination with HR,Automate HR termination notifications and monitor account disablement completion,Identity and Access Management,2026-09-15,In Progress,Termination workflow configuration and disablement logs,Pending Validation
FIND-003,CT-003,Privileged Access,High,Three privileged accounts lacked current business justification or recent review evidence,Management agrees to strengthen privileged-access governance,Perform quarterly privileged-access reviews and require documented business justification,IT Security,2026-09-30,Open,Privileged account inventory and review approvals,Pending
FIND-004,CT-004,Multi-Factor Authentication,High,Two privileged accounts lacked MFA and approved exceptions,Management agrees MFA should be enforced consistently,Enable MFA for all applicable privileged accounts and formally document exceptions,Identity and Access Management,2026-09-15,In Progress,MFA enrollment report and exception records,Pending Validation
FIND-005,CT-005,Access Reviews,High,Two access-review findings lacked evidence showing unnecessary access was removed,Management agrees remediation evidence should be retained for every access-review exception,Add mandatory closure evidence to the access-review process,Identity and Access Management,2026-09-30,Open,Access review records and access-removal evidence,Pending
FIND-006,CT-006,Change Management,Medium,One production change lacked complete testing evidence,Management agrees change testing documentation should be strengthened,Require test evidence before final approval and implementation,Change Management,2026-10-15,Open,Updated change workflow and sample change tickets,Pending
FIND-007,CT-007,Audit Logging,Medium,Two review periods lacked sufficient documentation showing security logs were analyzed,Management agrees the review process requires more consistent documentation,Establish recurring log-review records with reviewer findings and escalation details,Security Operations,2026-10-15,Open,SIEM review reports and investigation tickets,Pending
FIND-008,CT-008,Vulnerability Management,High,Three high-risk vulnerabilities exceeded remediation timelines without documented risk acceptance,Management agrees overdue findings should require stronger governance,Enforce remediation SLAs and require formal approval for overdue high-risk vulnerabilities,Vulnerability Management,2026-09-30,In Progress,Vulnerability aging report remediation tickets and risk acceptance records,Pending Validation
FIND-009,CT-009,Incident Response,Medium,One incident lacked complete escalation and closure documentation,Management agrees incident records should be standardized,Implement an incident closure checklist covering escalation evidence actions and lessons learned,Incident Response Team,2026-10-31,Open,Updated incident template and completed incident records,Pending
FIND-010,CT-010,Incident Response Testing,High,No current tabletop exercise was available,Management agrees that response procedures should be tested regularly,Schedule and conduct an annual tabletop exercise with documented lessons learned and corrective actions,Incident Response Team,2026-10-31,Planned,Tabletop exercise report participant list and action tracker,Pending
FIND-011,CT-011,Backup and Recovery,Medium,Only two recent restoration tests had sufficient evidence,Management agrees restoration testing should be performed and documented consistently,Establish quarterly recovery testing and retain test results,IT Operations,2026-11-15,Open,Restore test reports and recovery logs,Pending
FIND-012,CT-012,Third-Party Risk,High,Two high-risk vendors had outdated reassessment evidence,Management agrees high-risk vendors require recurring review,Create an annual reassessment schedule and escalate overdue high-risk vendor reviews,GRC and Procurement,2026-10-15,In Progress,Vendor reassessment records and remediation tracker,Pending Validation
FIND-013,CT-013,Policy Management,Low,One sampled policy exceeded its scheduled review date,Management agrees the policy review schedule should be monitored,Update the overdue policy and implement automated review reminders,GRC,2026-11-30,Open,Updated policy approval and review record,Pending
FIND-014,CT-014,Risk Management,Medium,Two open risks lacked complete treatment or approval documentation,Management agrees that risk records should include complete ownership and treatment decisions,Require owners target dates treatment decisions and approval for all material risks,GRC,2026-10-31,Open,Updated risk register and approval records,Pending
FIND-015,CT-015,Remediation Tracking,High,Two prior findings were closed without sufficient validation evidence,Management agrees audit findings should not close until remediation is independently validated,Require validation evidence and formal closure approval before changing findings to Closed,Internal Audit,2026-09-30,In Progress,Updated finding tracker validation evidence and closure approvals,Pending Validation
